,frame,xcoord,ycoord,brand,conf
2112,100210,298,21,Nike,0.8624961376190186
2113,100220,199,255,Asics,0.9643850326538086
2114,100220,199,255,Asics,0.8006644248962402
2115,100230,199,255,Asics,0.8923723697662354
2116,100240,199,255,Asics,0.9269113540649414
2117,100240,199,255,Asics,0.8414050340652466
2118,100240,298,124,Asics,0.8025192022323608
2119,100250,199,255,Asics,0.8591636419296265
2120,100250,329,249,Asics,0.883734405040741
2121,100270,298,124,Asics,0.8410110473632812
2122,100280,298,124,Asics,0.9757463335990906
2123,100290,199,255,Nike,0.9891233444213867
2124,100290,384,174,Nike,0.9133508801460266
2125,100290,298,124,Asics,0.9726495146751404
2126,100300,384,174,Nike,0.8508068919181824
2127,100300,298,124,Asics,0.99634850025177
2128,100310,199,255,Asics,0.9781581163406372
2129,100310,199,255,Asics,0.9117357730865479
2130,100310,466,251,Asics,0.8830264210700989
2131,100320,199,255,Asics,0.8896331787109375
2132,100320,384,174,Nike,0.9478380680084229
2133,100320,384,174,Nike,0.898115873336792
2134,100350,298,124,Asics,0.8713828325271606
2135,100360,199,255,Asics,0.9258182048797607
2136,100380,199,255,Asics,0.8728411197662354
2137,100380,329,249,Asics,0.9137740135192871
2138,100400,199,255,Nike,0.8603888154029846
2139,100410,199,255,Asics,0.9780147075653076
2140,100410,199,255,Nike,0.9395993947982788
2141,100410,199,255,Asics,0.9210398197174072
2142,100410,199,255,Asics,0.8347026705741882
2143,100420,199,255,Asics,0.8384779691696167
2144,100430,199,255,Asics,0.9262763857841492
2145,100440,199,255,Asics,0.9034215211868286
2146,100440,199,255,Asics,0.8344141244888306
2147,100450,199,255,Asics,0.8513979911804199
2148,100460,199,255,Asics,0.8693845868110657
2149,100460,199,255,Asics,0.8206714391708374
2150,100470,199,255,Asics,0.9355207681655884
2151,100480,329,249,Asics,0.8976022005081177
2152,100510,199,255,Asics,0.9108970165252686
2153,100510,384,174,Nike,0.9402695894241333
2154,100510,384,174,Nike,0.8475244045257568
2155,100520,199,255,Asics,0.8576805591583252
2156,100520,199,255,Asics,0.8314166069030762
2157,100520,199,255,Asics,0.8108078241348267
2158,100530,199,255,Asics,0.8465452194213867
2159,100530,384,174,Nike,0.9865405559539795
2160,100530,384,174,Nike,0.8718597292900085
2161,100540,199,255,Asics,0.9126089811325073
2162,100550,199,255,Asics,0.8026762008666992
2163,100550,199,255,Asics,0.8023265600204468
2164,100550,384,173,Nike,0.97611403465271
2165,100550,298,124,Asics,0.8562172055244446
2166,100570,199,255,Asics,0.8332409858703613
2167,100570,384,173,Nike,0.8395694494247437
2168,100570,298,124,Asics,0.9284483194351196
2169,100590,199,255,Asics,0.8273042440414429
2170,100610,384,173,Nike,0.8156901001930237
2171,100620,298,124,Asics,0.8516335487365723
2172,100630,329,249,Asics,0.8451210260391235
2173,100640,199,255,Asics,0.8495053052902222
2174,100650,199,255,Asics,0.9174171686172485
2175,100650,199,255,Asics,0.8893892765045166
2176,100660,199,255,Asics,0.866866946220398
2177,100670,199,255,Asics,0.9022331833839417
2178,100700,329,249,Asics,0.8560162782669067
2179,100710,199,255,Asics,0.8366878032684326
2180,100730,384,173,Nike,0.8855482935905457
2181,100740,199,255,Asics,0.895209550857544
2182,100740,199,255,Asics,0.8546369075775146
2183,100740,199,255,Asics,0.8311251401901245
2184,100740,9,188,Asics,0.8282207250595093
2185,100780,199,255,Asics,0.8832840919494629
2186,100780,199,255,Asics,0.8375315070152283
2187,100790,199,255,Asics,0.9345244765281677
2188,100800,9,189,Asics,0.9140976667404175
2189,100810,199,255,Asics,0.8747760057449341
2190,100820,199,255,Asics,0.9715181589126587
2191,100820,9,189,Asics,0.8562866449356079
2192,100840,199,255,Asics,0.8712502121925354
2193,100840,199,255,Asics,0.8249425888061523
2194,100840,329,249,Asics,0.852463960647583
2195,100850,199,255,Asics,0.936132550239563
2196,100850,199,255,Asics,0.8761030435562134
2197,100860,199,255,Asics,0.9798927307128906
2198,100870,199,255,Asics,0.9711623191833496
2199,100880,199,255,Asics,0.838308572769165
2200,100880,199,255,Asics,0.8004350662231445
2201,100890,199,255,Asics,0.9078872203826904
2202,100890,329,249,Asics,0.8563717007637024
2203,100920,384,173,Nike,0.8204673528671265
2204,100930,199,255,Asics,0.9130405187606812
2205,100930,199,255,Asics,0.8511802554130554
2206,100970,329,249,Asics,0.8021287322044373
2207,100980,199,255,Asics,0.9626842141151428
2208,100980,199,255,Asics,0.8289315700531006
2209,100990,75,254,Asics,0.9539979696273804
2210,100990,161,69,NB,0.9886439442634583
2211,100990,161,69,Nike,0.9686585664749146
2212,101000,75,254,Asics,0.9947175979614258
2213,101000,75,254,Asics,0.8535073399543762
2214,101010,199,255,Asics,0.8177160024642944
2215,101010,199,255,Asics,0.8116400241851807
2216,101010,24,191,Adidas,0.960691511631012
2217,101060,348,140,Adidas,0.9936161637306213
2218,101060,60,89,Asics,0.9168595671653748
2219,101070,198,255,Asics,0.854852557182312
2220,101070,293,140,Asics,0.8183220624923706
2221,101080,466,252,Asics,0.8001995086669922
2222,101090,180,112,Asics,0.8569516539573669
2223,101100,92,112,Asics,0.9252936840057373
2224,101110,466,252,Asics,0.8469504117965698
2225,101110,297,125,Nike,0.9641920328140259
2226,101120,371,207,Nike,0.9147197008132935
2227,101120,46,70,Nike,0.9473620653152466
2228,101140,298,124,Asics,0.8009170293807983
2229,101150,198,255,Asics,0.8443677425384521
2230,101150,465,251,Asics,0.813644528388977
2231,101170,198,255,Asics,0.9147368669509888
2232,101180,75,254,Asics,0.8875188827514648
2233,101200,198,255,Asics,0.8469550609588623
2234,101200,75,254,Asics,0.833914577960968
2235,101200,75,254,Asics,0.8218891024589539
2236,101200,297,124,Asics,0.9574145078659058
2237,101210,270,225,Adidas,0.9104952216148376
2238,101210,270,225,Asics,0.8163474202156067
2239,101220,198,255,Asics,0.9056267738342285
2240,101220,465,251,Asics,0.8081324696540833
2241,101230,198,255,Asics,0.9824694395065308
2242,101230,198,255,Asics,0.8574954271316528
2243,101230,198,255,Asics,0.8015578985214233
2244,101240,198,255,Asics,0.889614999294281
2245,101250,198,255,Asics,0.8151444792747498
2246,101250,75,254,Asics,0.8539273738861084
2247,101250,270,225,Asics,0.9403787851333618
2248,101260,75,254,Asics,0.9690964221954346
2249,101260,75,254,Asics,0.8337661623954773
2250,101270,199,255,Asics,0.8366144895553589
2251,101280,198,255,Asics,0.8967505693435669
2252,101280,466,251,Asics,0.8497391939163208
2253,101280,356,140,Nike,0.8395237922668457
2254,101290,198,255,Asics,0.9757844805717468
2255,101290,361,208,Nike,0.9889450073242188
2256,101290,297,124,Asics,0.8694410920143127
2257,101300,198,255,Asics,0.8618881702423096
2258,101310,199,255,Asics,0.8796676397323608
2259,101310,199,255,Asics,0.8211038112640381
2260,101310,270,225,Adidas,0.9688708782196045
2261,101320,199,255,Asics,0.8539742231369019
2262,101320,270,225,Adidas,0.9938293695449829
2263,101320,270,225,Asics,0.8181955814361572
2264,101330,199,255,Asics,0.9859403371810913
2265,101330,199,255,Asics,0.8423647284507751
2266,101330,270,225,Asics,0.9697842001914978
2267,101340,198,255,Asics,0.8576265573501587
2268,101350,199,255,Asics,0.836908221244812
2269,101350,270,225,Asics,0.8581809997558594
2270,101350,270,225,Adidas,0.8257317543029785
2271,101350,10,189,Asics,0.8717300295829773
2272,101360,270,225,Asics,0.9688131809234619
2273,101360,270,225,Adidas,0.962185263633728
2274,101370,270,225,Asics,0.949651837348938
2275,101380,199,255,Asics,0.8168191909790039
2276,101380,270,225,Asics,0.8092677593231201
2277,101390,270,225,Adidas,0.9411094188690186
2278,101390,270,225,Asics,0.9004013538360596
2279,101400,199,255,Asics,0.8793870210647583
2280,101400,270,225,Asics,0.8962993621826172
2281,101410,199,255,Asics,0.9927257895469666
2282,101410,199,255,Asics,0.8646548986434937
